fecha,var_anual_ipc_diff
2018-01-01,0.6047666971987233
2018-02-01,0.7629881926180389
2018-03-01,0.03434461810135403
2018-04-01,-0.05440162442648244
2018-05-01,0.6745305133411996
2018-06-01,2.753448878146795
2018-07-01,1.19083503078053
2018-08-01,2.5786286202885087
2018-09-01,5.499939067834241
2018-10-01,7.5680377492019275
2018-11-01,3.0011281725247088
2018-12-01,-1.905734452164225
2019-01-01,2.4364865927951485
2019-02-01,2.6431122264077658
2019-03-01,3.697915051319825
2019-04-01,0.6741615826790692
2019-05-01,1.3083347563131582
2019-06-01,-2.450929489721638
2019-07-01,-2.3196103848795815
2019-08-01,-0.8181654473071447
2019-09-01,-1.4299255784484615
2019-10-01,-0.22672029087792822
2019-11-01,2.0724788093537683
2019-12-01,0.5613676906357838
2020-01-01,-0.1347739003588373
2020-02-01,-1.957487435811359
2020-03-01,-1.8167882417969068
2020-04-01,-3.084499485251378
2020-05-01,-2.467373859419098
2020-06-01,-1.3501543952513444
2020-07-01,-1.1133169158380412
2020-08-01,-2.3654554073831306
2020-09-01,-4.2642582907482165
2020-10-01,2.5743063726625053
2020-11-01,-1.1401130703504023
2020-12-01,-0.46235846769970124
2021-01-01,2.9859246099321837
2021-02-01,2.664313844226399
2021-03-01,2.169404856226116
2021-04-01,3.4359930380829624
2021-05-01,2.3662728434580202
2021-06-01,0.578305886335329
2021-07-01,0.6529838894152249
2021-08-01,-1.1967247613104561
2021-09-01,0.4968825246798474
2021-10-01,2.4336525256210138
2021-11-01,-0.490280504676079
2021-12-01,-1.3873255687531056
2022-01-01,0.5516919264771118
2022-02-01,2.319310518597476
2022-03-01,3.0147111986946555
2022-04-01,2.645072048454466
2022-05-01,2.3850790550475196
2022-06-01,2.3346504122438247
2022-07-01,5.759392674504824
2022-08-01,6.05360981460656
2022-09-01,3.5408561603733233
